#COMBINATION;FREQ1;FREQ2;ORDER1;ORDER2;SIGN
2.916025E10;2.062475E10;3.2714E10;3;1;-
2.922115E10;2.062405E10;3.2651E10;3;1;-
2.933439E10;2.062413E10;3.2538E10;3;1;-
2.927462E10;2.062454E10;3.2599E10;3;1;-
2.914652E10;2.062484E10;3.2728E10;3;1;-
2.93541E10;2.06247E10;3.252E10;3;1;-
2.920742E10;2.062414E10;3.2665E10;3;1;-
1.4613E10;3.2739E10;2.0901E10;3;4;-
2.92932E10;2.06244E10;3.258E10;3;1;-
2.934037E10;2.062479E10;3.2534E10;3;1;-
2.913279E10;2.062493E10;3.2742E10;3;1;-
2.9226E10;2.0625E10;3.2649E10;3;1;-
2.927947E10;2.062449E10;3.2594E10;3;1;-
2.934327E10;2.062409E10;3.2529E10;3;1;-
2.92961E10;2.06247E10;3.2578E10;3;1;-
2.921517E10;2.062439E10;3.2658E10;3;1;-
2.91554E10;2.06248E10;3.2719E10;3;1;-
2.92289E10;2.06243E10;3.2644E10;3;1;-
2.916913E10;2.062471E10;3.2705E10;3;1;-
2.928237E10;2.062479E10;3.2592E10;3;1;-
2.914167E10;2.062489E10;3.2733E10;3;1;-
2.930208E10;2.062436E10;3.2571E10;3;1;-
2.936185E10;2.062495E10;3.2513E10;3;1;-
2.934812E10;2.062404E10;3.2524E10;3;1;-
2.928835E10;2.062445E10;3.2585E10;3;1;-
2.923488E10;2.062496E10;3.264E10;3;1;-
2.9021E10;2.058E10;3.2719E10;3;1;-
2.912989E10;2.062363E10;3.2741E10;3;1;-
2.930498E10;2.062466E10;3.2569E10;3;1;-
2.933747E10;2.062449E10;3.2536E10;3;1;-
2.9693E10;2.0811E10;3.274E10;3;1;-
2.927657E10;2.062419E10;3.2596E10;3;1;-
2.923778E10;2.062426E10;3.2635E10;3;1;-
2.935102E10;2.062434E10;3.2522E10;3;1;-
2.913587E10;2.062429E10;3.2737E10;3;1;-
2.917688E10;2.062496E10;3.2698E10;3;1;-
2.920937E10;2.062479E10;3.2665E10;3;1;-
2.914942E10;2.062414E10;3.2723E10;3;1;-
2.918191E10;2.062497E10;3.2693E10;3;1;-
2.9357E10;2.0625E10;3.2518E10;3;1;-
2.913877E10;2.062459E10;3.2735E10;3;1;-
2.921227E10;2.062409E10;3.266E10;3;1;-
2.928545E10;2.062415E10;3.2587E10;3;1;-
2.93599E10;2.06243E10;3.2513E10;3;1;-
2.9299E10;2.0625E10;3.2576E10;3;1;-
2.918576E10;2.062492E10;3.2689E10;3;1;-
2.921825E10;2.062475E10;3.2656E10;3;1;-
2.933149E10;2.062483E10;3.2543E10;3;1;-
2.91583E10;2.06241E10;3.2714E10;3;1;-
2.919079E10;2.062493E10;3.2684E10;3;1;-
2.92318E10;2.06246E10;3.2642E10;3;1;-
2.917493E10;2.062431E10;3.2698E10;3;1;-
2.925994E10;2.062498E10;3.2615E10;3;1;-
2.930711E10;2.062437E10;3.2566E10;3;1;-
2.932161E10;2.062487E10;3.2553E10;3;1;-
2.919274E10;2.062458E10;3.2681E10;3;1;-
2.923991E10;2.062497E10;3.2635E10;3;1;-
1.3444E10;3.2712E10;2.1173E10;3;4;-
2.925441E10;2.062447E10;3.2619E10;3;1;-
2.930788E10;2.062496E10;3.2567E10;3;1;-
2.9635E10;2.0792E10;3.2741E10;3;1;-
2.924068E10;2.062456E10;3.2633E10;3;1;-
2.932859E10;2.062453E10;3.2545E10;3;1;-
2.926882E10;2.062494E10;3.2606E10;3;1;-
2.926361E10;2.062487E10;3.2611E10;3;1;-
2.918268E10;2.062456E10;3.2691E10;3;1;-
2.919641E10;2.062447E10;3.2677E10;3;1;-
2.913664E10;2.062488E10;3.2738E10;3;1;-
2.920162E10;2.062454E10;3.2672E10;3;1;-
2.931486E10;2.062462E10;3.2559E10;3;1;-
2.932936E10;2.062412E10;3.2543E10;3;1;-
2.924766E10;2.062422E10;3.2625E10;3;1;-
1.3612E10;3.274E10;2.1152E10;3;4;-
2.9971E10;2.0902E10;3.2735E10;3;1;-
2.932374E10;2.062458E10;3.255E10;3;1;-
2.935623E10;2.062441E10;3.2517E10;3;1;-
2.929125E10;2.062475E10;3.2583E10;3;1;-
2.933824E10;2.062408E10;3.2534E10;3;1;-
2.919156E10;2.062452E10;3.2682E10;3;1;-
2.922405E10;2.062435E10;3.2649E10;3;1;-
2.925654E10;2.062418E10;3.2616E10;3;1;-
1.378E10;3.274E10;2.111E10;3;4;-
2.915463E10;2.062421E10;3.2718E10;3;1;-
2.913356E10;2.062452E10;3.274E10;3;1;-
2.916605E10;2.062435E10;3.2707E10;3;1;-
2.919854E10;2.062418E10;3.2674E10;3;1;-
2.923103E10;2.062401E10;3.2641E10;3;1;-
2.91525E10;2.06245E10;3.2721E10;3;1;-
2.926574E10;2.062458E10;3.2608E10;3;1;-
1.3948E10;3.274E10;2.1068E10;3;4;-
2.918499E10;2.062433E10;3.2688E10;3;1;-
2.929823E10;2.062441E10;3.2575E10;3;1;-
1.3583E10;3.2741E10;2.116E10;3;4;-
2.931273E10;2.062491E10;3.2562E10;3;1;-
2.934522E10;2.062474E10;3.2529E10;3;1;-
2.928024E10;2.062408E10;3.2592E10;3;1;-
1.3751E10;3.2741E10;2.1118E10;3;4;-
2.921304E10;2.062468E10;3.2661E10;3;1;-
2.924553E10;2.062451E10;3.2628E10;3;1;-
2.914362E10;2.062454E10;3.273E10;3;1;-
2.917611E10;2.062437E10;3.2697E10;3;1;-
2.915617E10;2.062439E10;3.2717E10;3;1;-
2.921594E10;2.062498E10;3.2659E10;3;1;-
2.928912E10;2.062404E10;3.2583E10;3;1;-
